x;y;z;;type1;type2;type3;type4;type5;type6;type7;type8
93.43151955088395;31.94137044597082;4.670874842542593;;0;1;0;0;0;0;0;0
16.099751492107238;13.270644387587982;71.19347456411144;;0;0;0;1;0;0;0;0
19.554273979704117;92.49953851164318;27.62661640534777;;0;0;1;0;0;0;0;0
75.1034228902242;60.98676815606838;47.75651498254424;;0;1;0;1;1;1;1;0
0.3658652770030524;54.244393839533814;24.452499465826005;;1;0;1;0;0;0;0;0
23.958258599572734;23.341113888588914;20.413279818268116;;1;0;0;0;0;0;0;0
17.252295603297043;84.20398715457571;51.340940770448974;;0;0;1;0;0;1;0;0
92.92148052199258;3.69267681163874;86.25759041202454;;0;0;1;1;0;0;1;0
20.715111644422514;45.731947974544184;6.897848810490648;;1;0;1;0;0;0;0;0
9.204397058767954;44.21744148143291;24.242923539182414;;1;0;1;0;0;0;0;0
21.31843203277629;2.515959037129978;75.82663695737895;;0;0;0;1;0;0;0;0
10.141448247322426;93.43183084434325;71.76547318968332;;0;0;0;0;0;1;0;0
80.06389751963505;89.1570073031334;71.7780338767782;;0;0;0;0;0;0;0;1
40.303766871497324;78.53406230644754;23.98523486544033;;0;0;1;0;1;0;0;0
37.22407421419129;74.61225991843828;94.24242045461247;;1;1;1;1;1;0;1;0
64.36188852637422;32.6816891017359;65.894403557283;;1;1;0;1;0;0;1;0
12.908194502211945;34.15487293491908;62.173828368372654;;1;0;1;1;0;1;0;0
60.70549297337317;8.627257932657372;41.90328413635533;;1;1;0;1;0;0;1;0
60.55811561462162;91.48555281985689;40.03766786342972;;0;0;1;0;1;1;0;1
60.986240270211646;41.61892942524907;27.093294991322338;;1;1;1;0;1;0;0;0
38.23873026075428;2.133052117607015;20.395162805918343;;1;1;0;0;0;0;0;0
79.39400906020549;86.48661194977868;68.22413676823214;;0;0;0;0;0;0;0;1
93.4504744821154;78.79749091060111;22.727423360752972;;0;0;0;0;1;0;0;0
60.8174499455077;91.4149574397253;64.02946057106695;;0;0;1;0;1;1;0;1
17.313099593299864;40.31759283441794;90.03551165426835;;0;0;0;1;0;1;0;0
49.96141452124828;50.651185663727084;78.1890102633876;;1;1;0;0;0;1;0;0
5.388453053202147;62.67502938312257;30.60358089982215;;1;0;1;0;0;0;0;0
88.30059112007385;45.51641119319013;14.725654667224852;;0;1;0;0;1;0;0;0
60.774617046779156;32.44805733611093;85.79463473462837;;0;0;0;1;0;0;1;0
83.47968025139146;74.5269546558607;81.12102376771333;;0;1;1;1;0;1;1;0
45.39577862981553;6.656513453518986;56.085148340279076;;1;1;0;1;0;0;1;0
76.24774301725002;80.30784312992591;56.41292264820855;;0;0;0;0;1;0;0;1
84.71712984467418;10.132858285092128;54.382020867005174;;0;1;0;0;0;0;1;0
59.96198907066056;58.73977377547006;43.83673678486454;;1;1;1;1;1;1;1;1
11.18318949295124;51.04776927279085;63.6003239019489;;1;0;1;1;0;1;0;0
75.45459335227375;52.32174761580401;75.35544115074575;;0;0;0;0;0;0;1;1
30.52043462458216;75.19589071369685;47.59123708959273;;0;0;1;0;0;1;0;0
24.338503836355983;51.77994238778153;14.123964435083424;;1;0;1;0;0;0;0;0
69.85438855263175;51.682291682407886;32.608351623728915;;0;1;0;0;1;0;0;0
91.52773159527851;31.024480589800284;41.37454653449918;;0;1;0;0;0;0;1;0
4.889901809913788;2.0673756351534234;73.04878952507046;;0;0;0;1;0;0;0;0
69.59615137497518;26.294579377541595;78.45441255592002;;0;0;0;0;0;0;1;0
30.290438439743173;44.45742824883151;19.10517666291083;;1;0;1;0;0;0;0;0
33.514303381587055;6.372072326406187;78.01139138323096;;0;0;0;1;0;0;0;0
36.21592446579973;44.61797177951677;33.81410652014279;;1;1;1;0;1;0;0;0
15.669485744782985;39.07820693596618;45.87643550674302;;1;0;1;1;0;1;0;0
28.166231333774338;89.63877432612699;14.240763637076059;;0;0;1;0;0;0;0;0
63.80553310105943;37.402856476773195;22.04819289169778;;1;1;1;0;1;0;0;0
7.642279976310407;0.41101576693242103;43.553314393718445;;1;0;0;1;0;0;0;0
24.461331947065478;19.400097954329876;38.96083675862572;;1;0;0;1;0;0;0;0
29.74543165038511;56.25524906981979;61.42003191869135;;1;0;1;1;0;1;0;0
57.338920452443986;76.24657464063685;31.171315605256023;;0;0;1;0;1;0;0;0
27.169634186535397;39.591028195380154;39.545726679192114;;1;0;1;1;0;1;0;0
